word	count	ipa	variants	route	confidence	reason	layer
די	3976	də	di	lexicon	HIGH		G
א	3287	a		rule	LOW	alef-default	G
ער	2782	ɛr		lexicon	HIGH		G
איז	2484	iz	is	lexicon	HIGH		G
און	2420	in		lexicon	HIGH		G
האט	2212	hut	hɔt	lexicon	HIGH		G
וואס	1835	vus		lexicon	HIGH		G
נישט	1714	niʃt		lexicon	HIGH		G
דער	1647	dɛr		lexicon	HIGH		G
אין	1576	in		lexicon	HIGH		G
איך	1555	ix		lexicon	HIGH		G
פון	1552	fin		lexicon	HIGH		G
אז	1511	az	as	lexicon	HIGH		G
צו	1083	ʦi		lexicon	HIGH		G
זיין	993	zaːn		lexicon	HIGH		G
זיך	966	zix		lexicon	HIGH		G
מיט	957	mit		lexicon	HIGH		G
ס'איז	945	siz	sis	lexicon	HIGH		G
געווען	907	ɡəvˈejn		lexicon	HIGH		G
דעם	830	dejm	dɛm	lexicon	HIGH		G
זאגט	709	zuɡt	zukt	lexicon	HIGH		G
דא	705	du		lexicon	HIGH		G
פאר	700	far		lexicon	HIGH		G
אויף	678	oʊf	af	lexicon	HIGH		G
יא	639	ju		lexicon	HIGH		G
דאס	629	dus		lexicon	HIGH		G
עס	625	ɛs		lexicon	HIGH		G
אים	572	ejm	im	lexicon	HIGH		G
מיר	565	mir		lexicon	HIGH		G
מען	557	mɛn		lexicon	HIGH		G
אזוי	529	azˈɔj		lexicon	HIGH		G
האבן	526	hubn	hɔbn	lexicon	HIGH		G
זיי	505	zaj		lexicon	HIGH		G
ווי	504	vi		lexicon	HIGH		G
האב	490	hub	hɔb|hup	lexicon	HIGH		G
אן	481	un	an	lexicon	HIGH		G
שוין	462	ʃɔjn		lexicon	HIGH		G
אבער	445	ˈɔbər		lexicon	HIGH		G
דו	444	di	du	lexicon	HIGH		G
נאך	427	nux		lexicon	HIGH		G
געזאגט	415	ɡəzˈuɡt	ɡəzˈukt	lexicon	HIGH		G
רבי	371	rˈɛbə	rˈɛbi	lexicon	HIGH		L
קיין	360	kan	kajn	lexicon	HIGH		G
ווען	354	vɛn		lexicon	HIGH		G
זאל	348	zul		lexicon	HIGH		G
קען	332	kɛn		lexicon	HIGH		G
אונז	324	inz	inʦ|indz|ins	lexicon	HIGH		G
ביי	318	baː	ba|baj	lexicon	HIGH		G
וועט	310	vɛt		lexicon	HIGH		G
דאך	307	dɔx		lexicon	HIGH		G
זענען	302	zˈɛnən		lexicon	HIGH		G
זאגן	300	zuɡn		lexicon	HIGH		G
מ'האט	297	mhut		rule	MED	clitic	G
יעצט	281	jɛʦt		lexicon	HIGH		G
אייבערשטער	281	ˈajbərʃtər		rule	LOW	alef-default	G
גייט	277	ɡajt		lexicon	HIGH		G
מיין	253	maːn	majn	lexicon	HIGH		G
אלע	252	ˈalə		lexicon	HIGH		G
ר	250	rajʃ	rejʃ	rule	LOW	printed-respelling	L
טאג	247	tuɡ	tuk	lexicon	HIGH		G
ווייל	247	vaːl	vajl	lexicon	HIGH		G
נאר	242	nɔr		lexicon	HIGH		G
עפעס	233	ˈɛpəs		lexicon	HIGH		G
איד	230	jid	id|jit	lexicon	HIGH		G
דארף	229	daf	darf	lexicon	HIGH		G
אזא	228	azˈa		lexicon	HIGH		G
ישראל	223	jisrˈuəl		lexicon	HIGH		L
יאר	220	jur		lexicon	HIGH		G
דארטן	220	dɔrtn		lexicon	HIGH		G
זייער	214	zˈajər		lexicon	HIGH		G
זאך	204	zax		lexicon	HIGH		G
געהאט	202	ɡəhˈat		lexicon	HIGH		G
דארט	197	dɔrt		lexicon	HIGH		G
איינער	197	ˈajnər		lexicon	HIGH		G
בין	197	bin		lexicon	HIGH		G
קומט	195	kimt		lexicon	HIGH		G
רב	186	ruv	ruf	lexicon	HIGH		L
מענטש	185	mɛnʧ		lexicon	HIGH		G
וויל	179	vil		lexicon	HIGH		G
דיר	178	dir		lexicon	HIGH		G
כל	175	kɔl	kul	lexicon	HIGH		L
היינט	173	haːnt	hajnt	lexicon	HIGH		G
טון	173	tin	tun|tɔn	lexicon	HIGH		G
אויך	171	ɔjx	oʊx	lexicon	HIGH		G
וואו	171	vi		lexicon	HIGH		G
געווארן	169	ɡəvˈɔrn		lexicon	HIGH		G
צוויי	166	ʦvaj		lexicon	HIGH		G
גאנצע	165	ɡˈanʦə		lexicon	HIGH		G
אויב	164	ɔjb	ɔjp	lexicon	HIGH		G
וואך	163	vɔx		lexicon	HIGH		G
אריין	160	arˈaːn	arˈajn	lexicon	HIGH		G
על	158	al		lexicon	HIGH		L
ה	158	haj	hej	rule	LOW	printed-respelling	L
קינדער	157	kˈindər		lexicon	HIGH		G
שבת	157	ʃˈabəs		lexicon	HIGH		L
איין	153	ajn		lexicon	HIGH		G
זאכן	153	zaxn		lexicon	HIGH		G
גוט	151	ɡit		lexicon	HIGH		G
אידן	149	jidn	idn	lexicon	HIGH		G
מאכן	146	maxn		lexicon	HIGH		G
אמאל	144	amˈul	ˈamɔl	lexicon	HIGH		G
קומען	142	kˈimən		lexicon	HIGH		G
אויס	141	oʊs	ɔjs	lexicon	HIGH		G
קענען	139	kˈɛnən		lexicon	HIGH		G
געמאכט	137	ɡəmˈaxt		lexicon	HIGH		G
גיין	137	ɡajn		lexicon	HIGH		G
טאטע	135	tˈatə		lexicon	HIGH		G
מ'דארף	133	mdaf		rule	MED	clitic	G
צום	130	ʦim	ʦum	lexicon	HIGH		G
שטייט	128	ʃtajt	ʃtaːt	lexicon	HIGH		G
ניין	128	najn	naːn	lexicon	HIGH		G
תורה	128	tˈɔjrə		lexicon	HIGH		L
בית	127	bajs		lexicon	HIGH		L
וועגן	126	vejɡn	vɛɡn	lexicon	HIGH		G
מ'קען	125	mˈɛkən	mkɛn	lexicon	HIGH		G
לא	124	lɔj	lɔ	lexicon	HIGH		L
נצבים	123	nʦbim		rule	MED		G
יעדער	123	jˈɛdər		lexicon	HIGH		G
אלעס	122	ˈaləs		lexicon	HIGH		G
אסאך	121	ˈasax		lexicon	HIGH		G
פארוואס	120	farvˈus		lexicon	HIGH		G
מעשה	119	mˈaːsə	mˈajsə	lexicon	HIGH		L
אנדערע	117	ˈandərə		lexicon	HIGH		G
מער	117	mɛr		lexicon	HIGH		G
צייט	117	ʦaːt	ʦajt	lexicon	HIGH		G
יום	117	jɔjm	jɔm	lexicon	HIGH		L
עולם	116	ˈɔjləm	ˈɔjlum	lexicon	HIGH		L
געזען	115	ɡəzˈejn	ɡəzˈɛn	lexicon	HIGH		G
מיינט	115	majnt		lexicon	HIGH		G
לאמיר	114	lˈɔmir	lˈumir	lexicon	HIGH		G
ווארט	110	vɔrt		lexicon	HIGH		G
אפילו	110	afˈilə		lexicon	HIGH		L
וילך	109	ɔjlx		rule	MED		G
מאל	108	mul	mɔl	lexicon	HIGH		G
אדער	108	ˈɔdər		lexicon	HIGH		G
טעג	106	tejɡ	tɛɡ|tejk	lexicon	HIGH		G
טוב	106	tɔjv	tɔv|tɔjf	lexicon	HIGH		L
צוריק	105	ʦirˈik	ʦˈurik	lexicon	HIGH		G
טאקע	104	tˈakə		lexicon	HIGH		G
אידישע	103	jˈidiʃə	jˈɛdiʃə	lexicon	HIGH		G
געוואלט	103	ɡəvˈɔlt	ɡəvˈald	lexicon	HIGH		G
הייסט	103	hajst		lexicon	HIGH		G
ראש	102	rɔjʃ	rɔʃ	lexicon	HIGH		L
וויאזוי	101	vizˈɔj	viazˈɔj	lexicon	HIGH		G
לעבן	101	lejbn	lɛbn	lexicon	HIGH		G
געגאנגען	101	ɡəɡˈanɡən		lexicon	HIGH		G
האסט	101	hust	hɔst	lexicon	HIGH		G
דריי	99	draj	draː	lexicon	HIGH		G
זען	98	zejn		lexicon	HIGH		G
דעמאלטס	98	dˈɛmalʦ		rule	LOW	alef-default	G
ווערן	97	virn	vɛrn	lexicon	HIGH		G
איר	97	ir		lexicon	HIGH		G
הייליגער	97	hˈajliɡər		rule	MED		G
איבער	96	ˈibər		lexicon	HIGH		G
אויפ'ן	96	afn		rule	LOW	alef-default,pe-default	G
אביסל	96	abˈisl		lexicon	HIGH		G
ווייסט	95	vajst		lexicon	HIGH		G
געקומען	94	ɡəkˈimən		lexicon	HIGH		G
געבן	93	ɡejbn	ɡɛbn	lexicon	HIGH		G
מ'זאל	93	mzul		rule	MED	clitic	G
ווייס	93	vajs	vaːs	lexicon	HIGH		G
געגעבן	92	ɡəɡˈɛbn	ɡəɡˈejbn	lexicon	HIGH		G
כי	92	ki		lexicon	HIGH		L
משה	92	mˈɔjʃə		lexicon	HIGH		N
ביז	91	biz	bis	lexicon	HIGH		G
ארויס	91	arˈoʊs	arˈɔjs	lexicon	HIGH		G
ווער	91	vɛr		lexicon	HIGH		G
געקענט	91	ɡəkˈɛnt		lexicon	HIGH		G
וועל	90	vɛl		lexicon	HIGH		G
מענטשן	89	mɛnʧn		lexicon	HIGH		G
ס'האט	89	səhˈut	ʃut	lexicon	HIGH		G
יעדן	89	jejdn	jɛdn	lexicon	HIGH		G
גיי	89	ɡaj		lexicon	HIGH		G
נאכדעם	88	nuxdˈejm	nˈuxdəm	lexicon	HIGH		G
יעדע	88	jˈɛdə		lexicon	HIGH		G
ישיבה	88	jəʃˈivə		lexicon	HIGH		L
חתונה	88	xˈasənə		lexicon	HIGH		L
לערנען	87	lˈirnən	lˈɛrnən	lexicon	HIGH		G
גרויסע	84	ɡrˈɔjsə		lexicon	HIGH		G
זאלן	84	zɔln	zuln	lexicon	HIGH		G
נעמען	83	nˈɛmən	nˈejmən	lexicon	HIGH		G
רעדן	83	rɛdn		lexicon	HIGH		G
גוטע	83	ɡˈitə		lexicon	HIGH		G
דיין	83	daːn	dajn	lexicon	HIGH		G
אלול	83	ˈalil		rule	LOW	alef-default	G
סאו	82	sɔ		lexicon	HIGH		G
גמרא	82	ɡəmˈurə		lexicon	HIGH		L
טוט	81	tit	tut	lexicon	HIGH		G
מאכט	81	maxt		lexicon	HIGH		G
וועלן	81	vɛln		lexicon	HIGH		G
ממש	81	mˈamiʃ	mˈaməʃ	lexicon	HIGH		L
ס'שטייט	80	sʃtajt		rule	MED	clitic	G
אייבערשטן	80	ˈajbərʃtn		rule	LOW	alef-default	G
דורך	79	dˈɔrəx	durx	lexicon	HIGH		G
קינד	79	kind	kint	lexicon	HIGH		G
ס'זאל	78	szul		rule	MED	clitic	G
שעה	78	ʃu	ʃɔ	lexicon	HIGH		L
ווייטער	78	vˈaːtər	vˈajtər	lexicon	HIGH		G
געלט	77	ɡɛlt		lexicon	HIGH		G
של	77	ʃɛl		lexicon	HIGH		L
איראן	76	irˈan		lexicon	HIGH		E
ביים	76	bam	baːm	lexicon	HIGH		G
וויסן	76	visn		lexicon	HIGH		G
זי	76	zi		lexicon	HIGH		G
דיך	75	dix		lexicon	HIGH		G
וועג	74	vejɡ	vɛɡ|vejk	lexicon	HIGH		G
פלעגט	74	flɛɡt		rule	LOW	pe-default	G
אוועק	74	avˈɛk		lexicon	HIGH		G
געהערט	73	ɡəhˈirt	ɡəhˈɛrt	lexicon	HIGH		G
מארגן	73	mɔrɡn		lexicon	HIGH		G
גארנישט	73	ɡˈurniʃt	ɡˈɔrniʃt	lexicon	HIGH		G
מ'גייט	73	mɡajt		rule	MED	clitic	G
רבינו	73	rbˈini		rule	MED		G
ס'וועט	72	svɛt		rule	MED	clitic	G
מורא'דיגע	72	mˈiradiɡə		rule	LOW	alef-default	G
פרעזידענט	71	prəzidˈɛnt		lexicon	HIGH		E
השם	71	haʃˈɛm		lexicon	HIGH		L
וועלט	71	vɛlt		lexicon	HIGH		G
וואלט	71	vɔlt		lexicon	HIGH		G
פנים	70	pˈunəm		lexicon	HIGH		L
אמעריקע	69	amˈɛrikə		lexicon	HIGH		E
שפעטער	69	ʃpˈejtər	ʃpˈɛtər	lexicon	HIGH		G
ברוך	69	bˈurəx	bˈɔrux	lexicon	HIGH		L
אה	69	a		rule	LOW	alef-default	G
ווערט	68	virt	vɛrt	lexicon	HIGH		G
הונדערט	67	hˈindərt		rule	MED		G
מיט'ן	67	mitn		rule	MED		G
פלאץ	67	plaːʦ	plaʦ	lexicon	HIGH		G
יארן	66	jurn		lexicon	HIGH		G
אזעלכע	66	azˈɛlxə		rule	LOW	alef-default	G
פסוק	66	pˈusik		lexicon	HIGH		L
ארץ	65	ˈɛrəʦ		lexicon	HIGH		L
ברענגט	65	brɛnɡt		lexicon	HIGH		G
מ'איז	64	miz	mis	rule	MED	clitic	G
פאר'ן	64	farn		rule	LOW	alef-default,pe-default	G
בעל	64	baːl	bɛl	lexicon	HIGH		L
טראמפ	63	trɔmp	trump	lexicon	HIGH		E
ווערטער	62	vˈɛrtər		lexicon	HIGH		G
ניגון	62	nˈiɡin		rule	MED		G
ולא	62	ˈila		rule	LOW	alef-default	G
גאולה	62	ɡˈulə		lexicon	MED	audio-vowel	G
נאכמיטאג	61	nˈaxmitaɡ	nˈaxmitak	rule	LOW	alef-default	G
געטון	61	ɡətˈin		rule	MED	prefix-rescue:gold+גע	G
אנגעהויבן	61	ˈunɡəhɔjbn	ˈɔnɡəhɔjbn	lexicon	HIGH		G
ס'גייט	61	sɡajt		rule	MED	clitic	G
גייען	61	ɡˈajən		lexicon	HIGH		G
גערעדט	61	ɡərˈɛt	ɡərˈɛdt	lexicon	HIGH		G
אפאר	61	apˈur	ˈapɔr	lexicon	HIGH		G
הרע	61	hrə		rule	MED		G
חודש	60	xˈɔjdəʃ		lexicon	HIGH		L
וויפיל	60	vˈifil	vifl	lexicon	HIGH		G
היום	60	hjim		rule	MED		G
הויז	59	hoʊz	hɔjz|hoʊs	lexicon	HIGH		G
מיך	59	mix		lexicon	HIGH		G
דאווענען	59	dˈavənən		rule	LOW	alef-default	G
אזויפיל	58	ˈazɔjfil		rule	LOW	alef-default,pe-default	G
אפשר	58	ˈɛfʃir	ˈɛfʃər	lexicon	HIGH		L
את	58	ɛs		lexicon	HIGH		L
תפילין	58	tfiln		rule	LOW	printed-respelling	L
יצר	58	iʦr		rule	MED		G
נייע	57	nˈaːjə	nˈajə	lexicon	HIGH		G
שיינע	57	ʃˈajnə		lexicon	HIGH		G
פונעם	57	fˈinəm	fˈunəm	lexicon	HIGH		G
מלך	57	mˈajləx		lexicon	HIGH		L
ארום	56	arˈim	ˈarum	lexicon	HIGH		G
זעט	56	zejt		lexicon	HIGH		G
בן	56	bɛn		lexicon	HIGH		L
לשון	56	lʃin		rule	MED		G
באשעפער	56	baʃˈɛfər		lexicon	HIGH		G
ערשטע	55	ˈɛrʃtə		lexicon	HIGH		G
יענער	55	jˈɛnər		rule	MED		G
אנגעקומען	55	ˈunɡəkimən		rule	MED	prefix-rescue:gold+אנגע	G
געדענק	55	ɡədˈɛnk		rule	MED		G
בו	55	bi		rule	MED		G
האנט	55	hant		rule	LOW	alef-default	G
ארויף	54	arˈoʊf		lexicon	HIGH		G
שאלה	54	ʃˈaːlə	ʃˈajlə	lexicon	HIGH		L
געזונט	53	ɡəzˈint		rule	MED		G
מדינת	53	mdˈinas	mədˈinas	rule	LOW	sefaria-pointed	L
צען	53	ʦɛn		rule	MED		G
ביסט	53	bist		lexicon	HIGH		G
געשען	53	ɡəʃˈɛn		rule	MED		G
מ'וועט	52	mvɛt		rule	MED	clitic	G
מינוט	52	minˈit	mˈinut	lexicon	HIGH		G
אכט	52	axt		rule	LOW	alef-default	G
לעצטע	52	lˈɛʦtə		lexicon	HIGH		G
איי	51	aj		rule	LOW	alef-default	G
געדארפט	51	ɡədˈarft		lexicon	HIGH		G
געפרעגט	51	ɡəfrˈɛɡt		rule	LOW	pe-default	G
סתם	51	stam		lexicon	HIGH		L
הייליגן	51	hˈajliɡn		rule	MED		G
פארציילט	51	farʦˈajlt		rule	LOW	alef-default,pe-default	G
זיינע	50	zˈaːnə	zˈajnə	lexicon	HIGH		G
מין	50	min		rule	MED		G
געוואוסט	49	ɡəvˈist		rule	LOW	alef-default	G
שלום	49	ʃˈuləm	ʃˈɔləm	lexicon	HIGH		L
"רש""י"	49	rˈaʃi		lexicon	LOW	acronym-word	A
צדיקים	49	ʦdˈikim		rule	MED		G
שטיקל	49	ʃtikl		rule	MED		G
הקדוש	49	hkdiʃ		rule	MED		G
צדיק	49	ʦˈadik		lexicon	HIGH		L
אמעריקאנער	48	amərˈikanər		lexicon	HIGH		E
גענומען	48	ɡənˈimən	ɡənˈumən	lexicon	HIGH		G
צוזאמען	48	ʦizˈamən	ʦuzˈamən	lexicon	HIGH		G
מ'זאגט	48	mzuɡt		rule	MED	clitic	G
בחור	48	bˈuxər	bˈuxir	lexicon	HIGH		L
שרייבט	47	ʃraːbt	ʃrajbt	lexicon	HIGH		G
זמן	47	zman		lexicon	HIGH		L
גוי	47	ɡɔj		rule	MED		G
זאג	47	zuɡ	zuk	lexicon	HIGH		G
גלות	47	ɡˈuləs		lexicon	HIGH		L
פינף	46	finf		rule	LOW	pe-default	G
וועלכע	46	vˈɛlxə		lexicon	HIGH		G
שלמה	46	ʃlˈɔjmə		lexicon	HIGH		L
מצוה	46	mˈiʦvə		lexicon	HIGH		L
פרעגט	46	frɛɡt		rule	LOW	pe-default	G
תשובה	46	ʧˈivə		lexicon	HIGH		L
פרעגן	46	frɛɡn		rule	LOW	pe-default	G
חיים	46	xˈajim		lexicon	HIGH		N
קענסט	46	kɛnst		lexicon	HIGH		G
אליין	46	alˈajn	ˈalejn	lexicon	HIGH		G
יענע	45	jˈɛnə		lexicon	HIGH		G
צווישן	45	ʦviʃn		lexicon	HIGH		G
פרשת	45	pˈarʃis	pˈarʃəs	lexicon	HIGH		L
ברכה	45	brˈuxə		lexicon	HIGH		L
שיין	45	ʃajn		lexicon	HIGH		G
אקעי	45	ˈɔkaj		lexicon	HIGH		G
טו	45	ti		rule	MED		G
המקדש	45	hamˈikduʃ		rule	LOW	sefaria-pointed	L
העלפן	44	hɛlfn		lexicon	HIGH		G
המדרש	44	hamˈidruʃ		rule	LOW	lk-proclitic-pointed:sefaria-pointed	L
בכל	44	bxul	bəxˈul	rule	LOW	sefaria-pointed	L
קינדערלעך	44	kˈindərləx		rule	MED		G
השנה	44	haʃˈunə		rule	LOW	lk-proclitic-pointed:sefaria-pointed	L
ספר	44	sˈajfər	sˈejfər	lexicon	HIGH		L
זוכה	44	zˈixə		rule	MED		G
לאנג	43	laːnɡ	lanɡ|laːnk	lexicon	HIGH		G
אזייגער	43	ˈazajɡər		rule	LOW	alef-default	G
נאמען	43	nˈumən	nˈɔmən	lexicon	HIGH		G
פיר	43	fir		rule	LOW	pe-default	G
אפ	43	ɔp		lexicon	HIGH		G
נו	43	ni		rule	MED		G
יענעם	43	jˈɛnəm		rule	MED		G
עסן	43	ɛsn		lexicon	HIGH		G
הארץ	43	harʦ		lexicon	HIGH		G
ווייסן	42	vajsn		rule	MED		G
זון	42	zin		rule	MED		G
הרב	42	harˈaːv	harˈav|harˈaːf	lexicon	HIGH		L
קודם	42	kˈɔjdəm		lexicon	HIGH		L
אינטערעסאנט	42	intərəsˈant		rule	LOW	alef-default	G
מ'רעדט	42	mrɛdt		rule	MED	clitic	G
רגע	42	rˈɛɡə		lexicon	HIGH		L
ארבעט	41	ˈarbət		lexicon	HIGH		G
מלחמה	41	milxˈumə	mˈilxɔmə	lexicon	HIGH		L
אלס	41	ˈalis	als	lexicon	HIGH		G
אראפ	41	arˈup	arˈɔp	lexicon	HIGH		G
געבט	41	ɡɛbt		rule	MED		G
ס'קומט	41	skimt		rule	MED	clitic	G
כלל	41	klal		lexicon	HIGH		L
ביינאכט	41	bˈajnaxt		rule	LOW	alef-default	G
האלט	41	halt		lexicon	HIGH		G
קול	41	kul		lexicon	HIGH		L
שטארק	41	ʃtark		lexicon	HIGH		G
רבי'ן	41	rbin		rule	MED		G
מה	41	mɛ	ma	rule	LOW	model-pointed-guess	L
נאכאמאל	41	nˈuxamul		lexicon	HIGH		G
ירושלים	41	jəruʃulˈajim	jəriʃəlˈajim	lexicon	HIGH		L
לברכה	41	livrˈuxə		lexicon	HIGH		L
תהלים	41	təhˈilim		rule	LOW	sefaria-pointed	L
גלייך	40	ɡlaːx		lexicon	HIGH		G
דאנערשטאג	40	dˈanərʃtaɡ	dˈanərʃtak	rule	LOW	alef-default	G
הערן	40	hirn	hɛrn	lexicon	HIGH		G
אמת	40	ˈɛməs		lexicon	HIGH		L
אשר	40	aʃr		rule	LOW	alef-default	G
לו	40	li		rule	MED		G
שמחה	40	sˈimxə		lexicon	HIGH		L
הייליגע	40	hˈajliɡə		lexicon	HIGH		G
ימי	40	ˈimi		rule	MED		G
איינס	39	ajns		lexicon	HIGH		G
רבנים	39	rˈabunim		lexicon	HIGH		L
מיטוואך	39	mˈitvɔx		rule	MED	prefix-rescue:gold+מיט	G
דארפן	39	daːfn	darfn	lexicon	HIGH		G
פשוט	39	pˈuʃit	pˈuʃət	lexicon	HIGH		L
האסטו	39	hˈusti	hˈɔsti	lexicon	HIGH		G
דוד	39	did	dit	rule	MED		G
רבותי	39	rabˈɔjsaj		rule	LOW	sefaria-pointed	L
לויט	38	loʊt	lɔjt	lexicon	HIGH		G
אטאקעס	38	ˈatakəs		rule	LOW	alef-default	G
קיינמאל	38	kˈajnmul	kˈajnmɔl	lexicon	HIGH		G
נייעס	38	nˈaːjəs	nˈajəs	lexicon	HIGH		G
בר	38	bar	bur	rule	LOW	audio-homograph	L
שיעור	38	ʃˈiəir		rule	MED		G
הוא	38	hˈia		rule	LOW	alef-default	G
מאמע	38	mˈamə		rule	LOW	alef-default	G
עד	38	ɛd	ɛt	rule	MED		G
אוודאי	38	avˈadə		lexicon	HIGH		G
דינסטאג	37	dˈinstaɡ	dˈinstak	rule	LOW	alef-default	G
אונטער	37	ˈintər	ˈuntər	lexicon	HIGH		G
נעמט	37	nɛmt		lexicon	HIGH		G
קעגן	37	kejɡn	kɛɡn	lexicon	HIGH		G
פארשטייט	37	farʃtˈajt		lexicon	HIGH		G
גאנץ	36	ɡanʦ		lexicon	HIGH		G
מאיר	36	mˈajər		lexicon	HIGH		N
בקיצור	36	bˈɛkiʦər		lexicon	HIGH		G
נעבעך	36	nˈɛbəx		rule	MED		G
משיח	36	mˈuʃiəx		lexicon	HIGH		L
"שליט""א"	35	ʃlˈitə		lexicon	HIGH		A
ראשי	35	rˈuʃi		lexicon	MED	audio-vowel	G
שטאט	35	ʃtut		lexicon	MED	audio-vowel	G
נאכט	35	naxt		lexicon	HIGH		G
דאלאר	35	dˈɔlar		lexicon	HIGH		G
וועסט	35	vɛst		rule	MED		G
גאר	35	ɡur		lexicon	HIGH		G
עלינו	35	ˈɛlini		rule	MED		G
למעשה	35	ləmˈaːsə	ləmˈajsə	lexicon	HIGH		L
אלעמאל	35	ˈaləmal		rule	LOW	alef-default	G
איינעם	35	ˈajnəm		lexicon	HIGH		G
יארצייט	35	jˈurʦajt		lexicon	MED	audio-vowel	G
"חז""ל"	35	xazˈal		lexicon	LOW	acronym-word	A
פרישע	34	frˈiʃə		lexicon	HIGH		G
אל	34	al		rule	LOW	alef-default	G
שווער	34	ʃvir	ʃvɛr	lexicon	HIGH		G
טובה	34	tˈibə		rule	MED		G
אינמיטן	34	ˈinmitn		lexicon	HIGH		G
סוף	34	sɔf	sɔjf	lexicon	HIGH		L
נקודה	34	nkˈidə		rule	MED		G
איינמאל	34	ˈajnmul	ˈajnmɔl	lexicon	HIGH		G
טאטן	34	tatn		rule	LOW	alef-default	G
קוק	34	kik		rule	MED		G
פשט	34	pʃat		lexicon	HIGH		L
מורא	34	mˈira		rule	LOW	alef-default	G
קעניג	34	kˈɛniɡ	kˈɛnik	rule	MED		G
זעלבע	33	zˈɛlbə		lexicon	HIGH		G
זייט	33	zaːt	zajt	lexicon	HIGH		G
צוואנציג	33	ʦvˈanʦiɡ	ʦvˈanʦik	rule	LOW	alef-default	G
טרעפן	33	trɛfn		lexicon	HIGH		G
מן	33	min		lexicon	HIGH		L
בני	33	bnaj	bnej	lexicon	HIGH		L
ברענגען	33	brˈejnɡən	brˈɛnɡən	lexicon	HIGH		G
אלקיך	33	ˈalkix		rule	LOW	alef-default	G
מורא'דיג	33	mˈiradiɡ	mˈiradik	rule	LOW	alef-default	G
אוי	33	ɔj		lexicon	HIGH		G
אונזער	33	ˈinzər	ˈindzər	lexicon	HIGH		G
וואסער	32	vˈasər		lexicon	HIGH		G
נעם	32	nɛm		rule	MED		G
איינע	32	ˈajnə		lexicon	HIGH		G
וואכן	32	vɔxn		lexicon	HIGH		G
באקומען	32	bakˈimən		lexicon	HIGH		G
געטראפן	32	ɡətrˈafn		rule	LOW	alef-default,pe-default	G
מ'זעט	32	mzejt		rule	MED	clitic	G
בעט	32	bɛt		lexicon	HIGH		G
מ'טאר	32	mtur		rule	MED	clitic	G
אלף	32	alf		rule	LOW	alef-default,pe-default	G
גרייט	31	ɡrajt		lexicon	HIGH		G
באאמטע	31	baˈamtə		rule	LOW	alef-default	G
רעדט	31	rɛdt	rɛt	lexicon	HIGH		G
פארן	31	farn		lexicon	HIGH		G
פארק	31	park		lexicon	HIGH		G
בכלל	31	bəxlˈaːl	bixlˈal	lexicon	HIGH		L
שמועס	31	ʃmˈiəs	ʃmˈuəs	lexicon	HIGH		G
אליינס	31	alˈajns		lexicon	HIGH		G
אם	31	am		rule	LOW	alef-default	G
פריער	30	frˈiər		rule	LOW	pe-default	G
אריבער	30	arˈibər		lexicon	HIGH		G
זיכער	30	zˈixər		lexicon	HIGH		G
אויכעט	30	ˈɔjxət		rule	LOW	alef-default	G
לך	30	ləxˈu	lux|lajx	rule	LOW	audio-homograph	L
הייבט	30	hajbt		rule	MED		G
פרשה	30	pˈarʃə		lexicon	HIGH		L
זאלסט	30	zulst		lexicon	HIGH		G
ווילסט	30	vilst		rule	MED		G
דיינע	30	dˈaːnə		lexicon	HIGH		G
געב	30	ɡɛb	ɡɛp	rule	MED		G
צווייטע	30	ʦvˈajtə		lexicon	HIGH		G
אני	30	ˈani		rule	LOW	alef-default	G
מוסר	30	misr		rule	MED		G
אמר	30	amr		rule	LOW	alef-default	G
נאנט	29	nant		rule	LOW	alef-default	G
דערציילט	29	dərʦˈajlt		rule	MED		G
ארבעטן	29	ˈarbətn		lexicon	HIGH		G
געכאפט	29	ɡəxˈapt		lexicon	HIGH		G
קיינער	29	kˈajnər		lexicon	HIGH		G
לייגן	29	lajɡn		lexicon	HIGH		G
מוז	29	miz	muz|mis	lexicon	HIGH		G
אחד	29	ˈɛxud	ˈɛxut	rule	LOW	sefaria-pointed	L
תיבות	29	tˈajvɔjs		rule	LOW	model-pointed-guess	L
מכבד	29	mxˈabajd	mxˈabajt	rule	LOW	pointed-audio-endorsed	L
קויפן	29	kɔjfn		lexicon	HIGH		G
ס'קען	29	skɛn		rule	MED	clitic	G
אמן	29	amn		rule	LOW	alef-default	G
חשבון	29	xˈɛʃbɔjn		rule	LOW	sefaria-pointed	L
ברכות	29	brˈuxəs		lexicon	HIGH		L
שול	29	ʃil		rule	MED		G
פרוי	29	frɔj		rule	LOW	pe-default	G
אלא	29	ˈala		rule	LOW	alef-default	G
רבונו	29	rbˈini		rule	MED		G
ניו	28	nju		lexicon	HIGH		E
קוקט	28	kikt	kukt	lexicon	HIGH		G
ווייסטו	28	vˈajsti		rule	MED		G
עבודה	28	avˈɔjdə		lexicon	HIGH		L
סליחות	28	slˈixis		rule	LOW	pointed-audio-endorsed	L
שידוך	28	ʃˈidəx		lexicon	HIGH		L
יוי	28	jɔj		rule	MED		G
זיצונג	27	zˈiʦinɡ	zˈiʦink	rule	MED		G
אלץ	27	alʦ		lexicon	HIGH		G
פאריגע	27	furˈiɡə		lexicon	MED	audio-vowel	G
קליינע	27	klˈajnə		lexicon	HIGH		G
מיליאן	27	miljˈɔn		lexicon	HIGH		G
