word	count	ipa	variants	route	confidence	reason	layer
אלחנן	3	əlxˈunun		rule	LOW	pointed-audio-endorsed	L
אריה	3	ˈari		rule	LOW	alef-default	G
ברק	3	bˈuruk		rule	LOW	sefaria-pointed	L
שריפה	3	ʃrˈifə		rule	LOW	pe-default	G
בכבוד	3	bxbid	bxbit	rule	MED		G
ונראה	3	ˈinra		rule	LOW	alef-default	G
הוראה	3	hˈira		rule	LOW	alef-default	G
אריינגעפאלן	3	arˈaːnɡəfaln		rule	LOW	alef-default,pe-default	G
בעק	3	bɛk		rule	MED		G
ארויסצוגיין	3	arˈoʊsʦiɡajn		rule	LOW	alef-default	G
קורצן	3	kirʦn		rule	MED		G
זילבער	3	zˈilbər		rule	MED		G
וואלסטו	3	vˈalsti		rule	LOW	alef-default	G
מ'פלעגט	3	mflɛɡt		rule	LOW	clitic	G
אויפגעוואקסן	3	ˈɔjfɡəvaksn		rule	LOW	alef-default,pe-default	G
רואיג	3	rˈuaːɡ	rˈuaːk	lexicon	MED	audio-vowel	G
טעיפ	3	tajf		rule	LOW	pe-default	G
ערליך	3	ˈɛrləx		rule	MED		G
חסידישע	3	xˈusidiʃə		rule	LOW	lk-fallback	L
זיבעצן	3	zˈibəʦn		rule	MED		G
הייזער	3	hˈaːzər		lexicon	HIGH		G
קארטל	3	kartl		rule	LOW	alef-default	G
ליצנות	3	lajʦˈunis	lajʦˈunus	rule	LOW	model-pointed-guess	L
שלעכט	3	ʃlɛxt		rule	MED		G
געוואונטשן	3	ɡəvˈinʧn		rule	LOW	alef-default	G
באניע	3	banˈiə		rule	LOW	alef-default	G
ושנות	3	ˈiʃnɔjs	ˈuʃənɔjs	rule	LOW	sefaria-pointed	L
מנת	3	mənˈus	mnus	rule	LOW	sefaria-pointed	L
עלטערע	3	ˈɛltərə		lexicon	HIGH		G
הלוואי	3	hlvaː		rule	LOW	alef-default	G
הערער	3	hˈɛrər		rule	MED		G
צוגעשטעלט	3	ʦˈiɡəʃtəlt		rule	MED		G
מזונות	3	mzˈɔjnɔjs	məzˈɔjnɔjs	rule	LOW	sefaria-pointed	L
לאקשן	3	lakʃn		rule	LOW	alef-default	G
תפלות	3	tfˈilɔjs		rule	LOW	pointed-audio-endorsed	L
באקוועמע	3	bakvˈɛmə		rule	LOW	alef-default	G
טוב'דיגע	3	tˈibdiɡə		rule	MED		G
מ'זעצט	3	mzɛʦt		rule	MED	clitic	G
בענקל	3	bɛnkl		rule	MED		G
ליידן	3	lajdn		rule	MED		G
פיס	3	fis		rule	LOW	pe-default	G
אייערע	3	ˈajərə		rule	LOW	alef-default	G
היט	3	hit		rule	MED		G
טראג	3	truɡ	truk	lexicon	MED	audio-vowel	G
קוויטלעך	3	kvˈitləx		rule	MED		G
קבלת	3	kabˈulas		rule	LOW	sefaria-pointed	L
מצאנז	3	mʦanz	mʦans	rule	LOW	alef-default	G
דירות	3	dirˈuɔjs		rule	LOW	model-pointed-guess	L
וירא	3	ˈɔjra		rule	LOW	alef-default	G
משולחים	3	mʃilˈuxim	məʃulˈuxim	rule	LOW	model-pointed-guess	L
גרויסקייט	3	ɡrˈɔjskaːt		rule	MED		G
מחבר	3	mxˈibur	məxˈubur	rule	LOW	sefaria-pointed	L
פארשטייען	3	farʃtˈajən		rule	LOW	alef-default,pe-default	G
קלויזנבורג	3	klˈɔjznbirɡ	klˈɔjznbirk	rule	MED		G
ינחם	3	jnˈaxajm	jənˈaxajm	rule	LOW	model-pointed-guess	L
שאר	3	ʃar		rule	LOW	alef-default	G
מאנרא	3	mˈanra		rule	LOW	alef-default	G
יעדעם	3	jˈɛdəm		rule	MED		G
שבשמים	3	ʒbʃmim		rule	MED		G
צער	3	ʦɛr		rule	MED		G
שטארקן	3	ʃtarkn		rule	LOW	alef-default	G
נר	3	najr		rule	LOW	sefaria-pointed	L
דאווען	3	dˈavən		rule	LOW	alef-default	G
אפגערעדט	3	ˈupɡərədt		rule	MED	prefix-rescue:gold+אפגע	G
אמבולאנס	3	ˈambilans		rule	LOW	alef-default	G
הוט	3	hit		rule	MED		G
ווינער	3	vˈinər		rule	MED		G
אויש	3	oʊʃ		rule	LOW	alef-default	G
טייטשן	3	tajʧn		rule	MED		G
גענוי	3	ɡənˈɔj		rule	MED		G
מוסף	3	misf		rule	LOW	pe-default	G
יראו	3	ˈiri		rule	LOW	alef-default	G
לאס	3	las		rule	LOW	alef-default	G
אנדזשעלעס	3	ˈanʤələs		rule	LOW	alef-default	G
צוגעקומען	3	ʦˈiɡəkimən		rule	MED	prefix-rescue:gold+צוגע	G
אריינצולייגן	3	arˈaːnʦilajɡn		rule	LOW	alef-default	G
באקומסטו	3	bakˈimsti		rule	LOW	alef-default	G
ימח	3	jˈimax		rule	LOW	pointed-audio-endorsed	L
רא	3	ra		rule	LOW	alef-default	G
ליפן	3	lipn		lexicon	MED	audio-pe	G
מלאכי	3	mlˈaxi		rule	LOW	alef-default	G
חבלה	3	xˈiblə	xˈubəlu	rule	LOW	model-pointed-guess	L
"ר""ע"	3	rajʃ ˈajən		rule	LOW	letter-names	A
חדרים	3	xadˈurim		rule	LOW	sefaria-pointed	L
ציטערן	3	ʦˈitərn		rule	MED		G
אלך	3	alx		rule	LOW	alef-default	G
אירא	3	ˈira		rule	LOW	alef-default	G
עדן	3	ɛdn		rule	MED		G
הפלא	3	hfla		rule	LOW	alef-default,pe-default	G
משמע	3	mʃmə		rule	MED		G
שחוק	3	sxɔjk	səxˈɔjk	rule	LOW	sefaria-pointed	L
ישנתי	3	ˈiʃnsi		fallback	LOW	lk-fallback	L
ז	3	zˈaːən	zˈajən	rule	LOW	printed-respelling	L
לולי	3	lˈili		rule	MED		G
בעניי	3	bənˈaː		rule	MED	prefix-rescue:word-latin+בע	G
איבריגע	3	ˈibriɡə		rule	LOW	alef-default	G
רשעים	3	rʃajm		rule	MED		G
והושיענו	3	ˈihiʃiəni		rule	MED		G
סוסים	3	sˈisim		rule	MED		G
נארמאלע	3	nˈarmalə		rule	LOW	alef-default	G
קריגן	3	kriɡn		rule	MED		G
תנאי	3	tənˈaj		rule	LOW	sefaria-pointed	L
יצליח	3	jaʦlˈixa		rule	LOW	sefaria-pointed	L
גליקליך	3	ɡlˈikləx		rule	MED		G
